Num,config,Num_Fe,a1,a2,a3,a4,a5,a6,a7,a8,a9,Etot_htr,dEform_eV,Emca_meV,Damp  # 0:Fe 1:Co
046,CCCFCFFCF,4,1,1,1,0,1,0,0,1,0,-13161.2456772459,-0.015549,-0.7637,0.0233477308
047,CCCFCFFFC,4,1,1,1,0,1,0,0,0,1,-13161.2483884110,-0.018261,0.0166,0.0137202751
048,CCCFCFFFF,5,1,1,1,0,1,0,0,0,0,-13040.5699933044,-0.011303,0.5210,0.0132083387
049,CCCFFCCCC,2,1,1,1,0,0,1,1,1,1,-13402.5804778261,-0.007475,0.2753,0.0093387204
050,CCCFFCCCF,3,1,1,1,0,0,1,1,1,0,-13281.9124828161,-0.010918,0.4583,0.0086879671
051,CCCFFCCFC,3,1,1,1,0,0,1,1,0,1,-13281.9173970303,-0.015832,-0.7421,0.0152852174
052,CCCFFCCFF,4,1,1,1,0,0,1,1,0,0,-13161.2391871561,-0.009059,0.2556,0.0079148944
053,CCCFFCFCC,3,1,1,1,0,0,1,0,1,1,-13281.9157783138,-0.014213,-0.6100,0.0097601660
054,CCCFFCFCF,4,1,1,1,0,0,1,0,1,0,-13161.2462188233,-0.016091,-0.3498,0.0162647435
055,CCCFFCFFC,4,1,1,1,0,0,1,0,0,1,-13161.2491412456,-0.019013,-0.2891,0.0138124593
056,CCCFFCFFF,5,1,1,1,0,0,1,0,0,0,-13040.5706868666,-0.011996,0.4658,0.0111511008
057,CCCFFFCCC,3,1,1,1,0,0,0,1,1,1,-13281.9094800797,-0.007915,-0.5295,0.0110590411
058,CCCFFFCCF,4,1,1,1,0,0,0,1,1,0,-13161.2408701343,-0.010742,0.0192,0.0144257310
059,CCCFFFCFC,4,1,1,1,0,0,0,1,0,1,-13161.2493748605,-0.019247,0.0229,0.0114028271
060,CCCFFFCFF,5,1,1,1,0,0,0,1,0,0,-13040.5689175062,-0.010227,0.3195,0.0166311479
061,CCCFFFFCC,4,1,1,1,0,0,0,0,1,1,-13161.2396311675,-0.009503,-0.6236,0.0104343386
062,CCCFFFFCF,5,1,1,1,0,0,0,0,1,0,-13040.5689003176,-0.010210,-0.7553,0.0238681477
063,CCCFFFFFC,5,1,1,1,0,0,0,0,0,1,-13040.5695637975,-0.010873,-0.0661,0.0194534741
064,CCCFFFFFF,6,1,1,1,0,0,0,0,0,0,-12919.8923454354,-0.005092,1.1724,0.0067291650
065,CCFCCCCCC,1,1,1,0,1,1,1,1,1,1,-13523.2504523941,-0.006012,0.1804,0.0082503127
066,CCFCCCCCF,2,1,1,0,1,1,1,1,1,0,-13402.5811297788,-0.008127,0.3110,0.0096935205
067,CCFCCCCFC,2,1,1,0,1,1,1,1,0,1,-13402.5873406749,-0.014338,0.1605,0.0121370748
068,CCFCCCCFF,3,1,1,0,1,1,1,1,0,0,-13281.9091044307,-0.007539,0.5684,0.0076082914
069,CCFCCCFCC,2,1,1,0,1,1,1,0,1,1,-13402.5838459499,-0.010843,-0.6959,0.0084560232
070,CCFCCCFCF,3,1,1,0,1,1,1,0,1,0,-13281.9145593179,-0.012994,0.0990,0.0099371706
071,CCFCCCFFC,3,1,1,0,1,1,1,0,0,1,-13281.9164709113,-0.014906,-0.3520,0.0105677419
072,CCFCCCFFF,4,1,1,0,1,1,1,0,0,0,-13161.2394080665,-0.009280,0.2626,0.0078588921
073,CCFCCFCCC,2,1,1,0,1,1,0,1,1,1,-13402.5835060690,-0.010503,-1.2443,0.0103569000
074,CCFCCFCCF,3,1,1,0,1,1,0,1,1,0,-13281.9150007033,-0.013435,-1.2664,0.0131390055
075,CCFCCFCFC,3,1,1,0,1,1,0,1,0,1,-13281.9232751462,-0.021710,-1.1376,0.0117468714
076,CCFCCFCFF,4,1,1,0,1,1,0,1,0,0,-13161.2428787570,-0.012751,-0.3109,0.0111651997
077,CCFCCFFCC,3,1,1,0,1,1,0,0,1,1,-13281.9130872908,-0.011522,-1.1711,0.0100899253
078,CCFCCFFCF,4,1,1,0,1,1,0,0,1,0,-13161.2423471698,-0.012219,-1.5970,0.0202646813
079,CCFCCFFFC,4,1,1,0,1,1,0,0,0,1,-13161.2450613369,-0.014933,-0.8790,0.0108349956
080,CCFCCFFFF,5,1,1,0,1,1,0,0,0,0,-13040.5675021657,-0.008812,-0.2987,0.0055893235
081,CCFCFCCCC,2,1,1,0,1,0,1,1,1,1,-13402.5857910506,-0.012788,-0.2382,0.0095422558
082,CCFCFCCCF,3,1,1,0,1,0,1,1,1,0,-13281.9175371067,-0.015972,-0.0859,0.0068472858
083,CCFCFCCFC,3,1,1,0,1,0,1,1,0,1,-13281.9219421075,-0.020377,-1.3394,0.0137322601
084,CCFCFCCFF,4,1,1,0,1,0,1,1,0,0,-13161.2441630210,-0.014035,-0.3852,0.0068720801
085,CCFCFCFCC,3,1,1,0,1,0,1,0,1,1,-13281.9207178027,-0.019153,-1.3443,0.0121802089
086,CCFCFCFCF,4,1,1,0,1,0,1,0,1,0,-13161.2514884850,-0.021361,-0.8787,0.0128047208
087,CCFCFCFFC,4,1,1,0,1,0,1,0,0,1,-13161.2545267127,-0.024399,-1.0414,0.0105418317
088,CCFCFCFFF,5,1,1,0,1,0,1,0,0,0,-13040.5765112795,-0.017821,-0.2833,0.0097818217
089,CCFCFFCCC,3,1,1,0,1,0,0,1,1,1,-13281.9146119970,-0.013047,-0.7869,0.0134333990
090,CCFCFFCCF,4,1,1,0,1,0,0,1,1,0,-13161.2461940040,-0.016066,-0.8704,0.0123884041
091,CCFCFFCFC,4,1,1,0,1,0,0,1,0,1,-13161.2546108416,-0.024483,-0.8951,0.0105729997
092,CCFCFFCFF,5,1,1,0,1,0,0,1,0,0,-13040.5739448748,-0.015254,-0.1830,0.0168896796
093,CCFCFFFCC,4,1,1,0,1,0,0,0,1,1,-13161.2448543659,-0.014726,-1.2872,0.0104902593
094,CCFCFFFCF,5,1,1,0,1,0,0,0,1,0,-13040.5743099864,-0.015619,-1.0504,0.0216626342
095,CCFCFFFFC,5,1,1,0,1,0,0,0,0,1,-13040.5756893896,-0.016999,-0.6002,0.0205135859
096,CCFCFFFFF,6,1,1,0,1,0,0,0,0,0,-12919.8981200042,-0.010867,0.4579,0.0063386849
